Rank,Car No,School,Team,Overall,Overall Dynamic,Overall Static,Cost,Design,Sales Presentation,Acceleration,Land Manuverability,Hill Climb,Rock Crawl,Endurance Race,Event Penalty,Tech Inspection Penalty,Register,DQ
52,53,Ohio Northern Univ,ONU BAJA,379.52,89.75,147.55,44.80,66.00,36.75,40.77,0.00,38.54,10.44,142.22,,0,,
53,75,Kansas State Univ - Salina,Baja Salina,376.62,130.68,171.50,62.50,82.00,27.00,60.67,47.39,21.87,0.75,124.44,,-50,,
54,16,Miami Univ,RedHawk Racing ,375.11,142.69,175.75,70.75,81.50,23.50,58.87,34.74,38.54,10.54,106.67,,-50,,
55,13,Conestoga College,Cobra,372.81,118.10,148.04,57.04,69.00,22.00,57.81,0.00,49.08,11.21,106.67,,0,,
56,55,Univ of Alabama - Birmingham,Blazer Motorsports ,371.53,120.04,178.71,70.38,73.00,35.33,64.28,0.00,53.19,2.57,97.78,,-25,,
57,29,Univ of Michigan - Dearborn,UM-D Racing,367.17,173.42,243.75,92.00,110.50,41.25,62.08,52.76,47.78,10.80,0.00,,-50,,
58,90,Arizona State Univ - Polytechnic,Sun Devil Motorsports - Gold ,366.75,166.69,84.50,0.00,59.50,25.00,59.40,0.00,51.91,55.38,115.56,,0,,
59,37,Worcester Polytechnic Inst,WPI Baja ,348.25,191.17,172.08,53.83,80.00,38.25,66.37,57.05,56.54,11.21,0.00,,-15,,
60,89,Oklahoma State Univ,OSU Baja Team ,345.35,193.79,166.56,22.06,110.50,34.00,66.28,50.93,58.58,18.00,0.00,,-15,,
61,23,California State Univ - Chico,Chico State Racing,339.82,200.57,109.25,1.00,77.00,31.25,69.79,62.44,57.31,11.03,80.00,,-50,,
62,45,Univ of Louisville,Speed Motorsports,332.43,156.62,225.81,75.81,116.00,34.00,59.27,49.39,46.67,1.29,0.00,,-50,,
63,86,Northern Illinois Univ,NIU Motorsports ,321.07,183.55,187.52,72.52,76.50,38.50,49.87,49.52,37.93,46.23,0.00,,-50,,
64,50,Florida Inst of Tech,Pantera Racing ,291.34,142.33,199.01,70.76,99.50,28.75,69.98,0.00,62.01,10.34,0.00,,-50,,
65,87,Missouri University of Science and Tech,Miner Baja ,272.94,146.81,132.24,34.99,76.00,21.25,41.85,29.26,32.66,43.04,8.89,,-15,,
66,47,Univ of Illinois - Chicago,Illusive Spotted Mountain Cow,255.66,98.36,145.08,76.08,69.00,0.00,50.45,0.00,45.34,2.57,62.22,,-50,,
67,12,Arizona State Univ - Tempe,Sidewinder,251.88,108.88,143.00,48.00,60.50,34.50,61.17,0.00,46.48,1.23,0.00,,0,,
68,71,Buffalo State College,BSC,233.35,115.01,61.67,0.00,37.00,24.67,42.61,21.57,39.64,11.19,106.67,,-50,,
69,114,Univ of Hawaii - Manoa,University of Hawaii,228.58,105.08,173.50,55.25,70.50,47.75,49.16,0.00,45.12,10.80,0.00,,-50,,
70,92,Arizona State Univ - Polytechnic,Sun Devil Motorsports - Maroon ,211.70,127.39,98.75,2.00,70.00,26.75,62.44,1.74,52.15,11.06,35.56,,-50,,
71,76,Tri-State Univ,Tri-State,195.57,91.85,91.50,4.00,65.00,22.50,58.05,12.23,20.95,0.62,62.22,,-50,,
72,43,Univ of Wisconsin - Platteville,Pioneer Racing ,184.56,50.98,130.25,11.00,87.00,32.25,40.93,0.00,10.05,0.00,53.33,,-50,,
73,41,Lake Superior State Univ,O.R.D,184.36,126.22,99.25,5.00,74.00,20.25,71.38,0.00,53.19,1.65,8.89,,-50,,
74,77,Murray State Univ,Racers Baja,161.91,45.59,166.32,63.07,71.00,32.25,39.14,0.00,6.45,0.00,0.00,,-50,,
75,68,Kettering Univ,Bulldog Racing,152.90,77.40,125.50,0.00,99.50,26.00,47.63,0.00,28.12,1.65,0.00,,-50,,
76,64,Lake Superior State Univ,Laker Racing,144.57,47.46,76.00,4.00,53.00,19.00,47.46,0.00,0.00,0.00,71.11,,-50,,
77,56,Northwestern Univ,Northwestern University,139.16,156.16,33.00,0.00,33.00,0.00,64.28,55.71,34.60,1.57,0.00,,-50,,
78,11,Purdue Univ - Ft Wayne,Innovative Motorsports ,133.84,42.61,141.23,15.73,89.00,36.50,42.61,0.00,0.00,0.00,0.00,,-50,,
79,109,California State Univ - Fullerton,Titan Racing,125.93,81.18,94.75,2.00,57.50,35.25,53.73,15.58,11.87,0.00,0.00,,-50,,
80,22,Univ of Evansville,Offroad Aces ,115.97,69.54,96.43,54.93,41.50,0.00,69.54,0.00,0.00,0.00,0.00,,-50,,
81,34,Univ of Portland,Pilot Racing II ,107.23,66.48,90.75,0.00,60.00,30.75,59.59,0.00,6.89,0.00,0.00,,-50,,
82,95,Franklin W Olin College of Engineering,Phoenix Racing ,102.77,0.00,152.77,57.02,78.00,17.75,0.00,0.00,0.00,0.00,0.00,,-50,,
83,113,Brigham Young Univ - Idaho,team viking ,96.59,77.09,64.50,0.00,42.00,22.50,53.90,0.00,21.80,1.39,0.00,,-45,,
84,98,Robert Morris University,RMU Baja ,89.50,0.00,59.50,7.00,20.00,32.50,0.00,0.00,0.00,0.00,80.00,,-50,,
85,108,Univ of Nevada - Las Vegas,Rebel Racing,85.11,0.00,135.11,48.86,61.50,24.75,0.00,0.00,0.00,0.00,0.00,,-50,,
86,17,Univ of Portland,Pilot Racing ,76.80,6.81,119.99,31.74,64.00,24.25,0.00,0.00,6.45,0.36,0.00,,-50,,
87,20,LeTourneau Univ,Spirit ,70.10,0.00,120.10,72.60,47.50,0.00,0.00,0.00,0.00,0.00,0.00,,-50,,
88,30,Cleveland State Univ,Made To Take It ,67.10,0.00,108.21,66.71,41.50,0.00,0.00,0.00,0.00,0.00,8.89,,-50,,
89,104,North Dakota State Univ,Herd Haulers,64.99,0.00,114.99,75.49,39.50,0.00,0.00,0.00,0.00,0.00,0.00,,-50,,
90,38,Cleveland State Univ,Made to Take it Again ,33.59,0.00,83.59,54.09,29.50,0.00,0.00,0.00,0.00,0.00,0.00,,-50,,
91,51,ITESM - Campus Laguna,Escuderia Laguna ,18.00,0.00,68.00,0.00,48.50,19.50,0.00,0.00,0.00,0.00,0.00,,-50,,
92,40,Purdue Univ - Calumet,PUC Baja,11.50,0.00,61.50,15.00,29.00,17.50,0.00,0.00,0.00,0.00,0.00,,-50,,
93,84,Purdue Univ - W Lafayette,Phoenix,0.00,0.00,37.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,,
94,70,Southern Methodist Univ,SMU Racing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,,
,28,Ferris State Univ,Brutus,0.00,0.00,1.50,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,31,Cooper Union,Cooper Hawks ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,35,Wright State Univ,WSU RAIDERS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,36,Univ of North Carolina - Charlotte,49ers Racing,3.00,0.00,53.00,8.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,42,Case Western Reserve Univ,Bingham's Best ,3.50,0.00,53.50,10.00,43.50,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,44,Univ of South Carolina,Cocky Engineers ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,49,Univ of Akron,Zips Racing,0.00,0.00,37.00,11.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,52,Universidad Autonoma Estado Mexico,Sarajuana,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,59,East Carolina Univ,East Carolina Motorsports ,0.00,0.00,36.50,1.00,35.50,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,61,Univ of Colorado - Colorado Springs,UCCS SAE Team B ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,65,Univ of Wisconsin - Milwaukee,MMS ,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,69,Univ of Houston - Houston,Courgar Baja,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,73,Polytechnic Univ of Puerto Rico,Levisa Engineering ,0.00,0.00,13.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,88,Missouri University of Science and Tech,Miner Baja #2 ,0.00,0.00,32.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,96,Ecole National D'Aerotechnique,ENA Racing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,99,Cetys Universidad,Z5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,103,ULSA Chihuahua,Ulsa Bulls Riders,0.00,0.00,9.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,105,North Dakota State Univ,Bison Motorsports,0.00,0.00,41.00,4.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,106,Old Dominion Univ,ODU Baja SAE ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,110,New Mexico State Univ,Haulin Aggies,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
,112,Penn State Univ - Berks,Berks Racing,0.00,0.00,33.00,4.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,,-50,No,
